time,Close,forecast
1.0,622.77,621.51220703125
1.0,618.7,621.7202758789062
1.0,617.12,622.2102661132812
1.0,621.28,622.7205200195312
1.0,622.31,623.2459716796875
1.0,624.1,623.70947265625
1.0,624.98,624.0670776367188
1.0,624.87,624.385009765625
1.0,629.85,624.6791381835938
1.0,633.09,625.0236206054688
1.0,636.95,625.2448120117188
1.0,634.8,625.393310546875
1.0,630.32,625.5573120117188
1.0,630.75,625.6256103515625
1.0,628.01,625.68798828125
1.0,636.26,625.651611328125
1.0,638.22,625.739013671875
1.0,637.36,625.9517822265625
1.0,636.99,626.099853515625
1.0,638.71,626.3038330078125
1.0,640.06,626.4232177734375
1.0,642.14,626.661376953125
1.0,639.01,626.9821166992188
1.0,636.39,627.35205078125
1.0,639.57,627.5650634765625
1.0,643.92,627.8604736328125
1.0,646.44,628.1953125
1.0,651.39,628.5263671875
1.0,650.64,628.8654174804688
1.0,649.32,628.9877319335938
1.0,638.81,629.1806030273438
1.0,640.87,629.256591796875
1.0,643.57,629.053466796875
1.0,644.51,628.98388671875
1.0,644.39,628.813232421875
1.0,645.39,628.5521240234375
1.0,648.63,628.299560546875
1.0,651.87,627.9529418945312
1.0,655.75,627.6629638671875
1.0,655.87,627.1366577148438
1.0,654.04,626.8873291015625
1.0,655.33,626.6455688476562
1.0,657.78,626.638671875
1.0,664.21,626.60791015625
1.0,666.17,626.5098876953125
1.0,669.49,626.4564208984375
1.0,672.7,626.4456787109375
1.0,674.95,626.4635620117188
1.0,672.24,626.358154296875
1.0,670.46,626.5039672851562
1.0,671.38,626.7297973632812
1.0,670.71,626.975830078125
1.0,663.59,627.2662353515625
1.0,655.65,627.5357055664062
1.0,662.18,627.919189453125
1.0,659.08,628.4703369140625
1.0,668.37,629.0123291015625
1.0,668.16,629.7284545898438
1.0,671.89,630.453369140625
1.0,671.08,631.2575073242188
1.0,668.82,632.0584106445312
1.0,668.02,632.9025268554688
1.0,663.33,633.9817504882812
2.0,618.7,622.9429321289062
2.0,617.12,623.2495727539062
2.0,621.28,623.58544921875
2.0,622.31,623.916748046875
2.0,624.1,624.1620483398438
2.0,624.98,624.3766479492188
2.0,624.87,624.5281982421875
2.0,629.85,624.6428833007812
2.0,633.09,624.6788940429688
2.0,636.95,624.7140502929688
2.0,634.8,624.7069091796875
2.0,630.32,624.6726684570312
2.0,630.75,624.6494140625
2.0,628.01,624.529052734375
2.0,636.26,624.5130615234375
2.0,638.22,624.3388061523438
2.0,637.36,624.3462524414062
2.0,636.99,624.2918090820312
2.0,638.71,624.278076171875
2.0,640.06,624.3126220703125
2.0,642.14,624.3123168945312
2.0,639.01,624.3510131835938
2.0,636.39,624.3602294921875
2.0,639.57,624.4391479492188
2.0,643.92,624.4418334960938
2.0,646.44,624.5324096679688
2.0,651.39,624.6455078125
2.0,650.64,624.667236328125
2.0,649.32,624.7703857421875
2.0,638.81,624.7677001953125
2.0,640.87,624.6991577148438
2.0,643.57,624.5338134765625
2.0,644.51,624.22119140625
2.0,644.39,623.9102783203125
2.0,645.39,623.6381225585938
2.0,648.63,623.2376708984375
2.0,651.87,622.8321533203125
2.0,655.75,622.450927734375
2.0,655.87,622.044189453125
2.0,654.04,621.5697021484375
2.0,655.33,621.188720703125
2.0,657.78,620.7990112304688
2.0,664.21,620.477294921875
2.0,666.17,620.1632080078125
2.0,669.49,619.8865356445312
2.0,672.7,619.6219482421875
2.0,674.95,619.4435424804688
2.0,672.24,619.2474365234375
2.0,670.46,619.07177734375
2.0,671.38,619.049072265625
2.0,670.71,619.05615234375
2.0,663.59,619.0903930664062
2.0,655.65,619.194580078125
2.0,662.18,619.3912353515625
2.0,659.08,619.6612548828125
2.0,668.37,620.0723876953125
2.0,668.16,620.5408935546875
2.0,671.89,621.1063842773438
2.0,671.08,621.7081909179688
2.0,668.82,622.405517578125
2.0,668.02,623.0872802734375
2.0,663.33,623.8549194335938
2.0,668.82,624.7625732421875
3.0,617.12,618.87548828125
3.0,621.28,619.15380859375
3.0,622.31,619.7286376953125
3.0,624.1,620.3438720703125
3.0,624.98,620.9666137695312
3.0,624.87,621.546875
3.0,629.85,622.0050048828125
3.0,633.09,622.4105224609375
3.0,636.95,622.7756958007812
3.0,634.8,623.2120971679688
3.0,630.32,623.4784545898438
3.0,630.75,623.6639404296875
3.0,628.01,623.875732421875
3.0,636.26,623.951904296875
3.0,638.22,624.0507202148438
3.0,637.36,624.0465698242188
3.0,636.99,624.2024536132812
3.0,638.71,624.4745483398438
3.0,640.06,624.6753540039062
3.0,642.14,624.930908203125
3.0,639.01,625.0966796875
3.0,636.39,625.3795776367188
3.0,639.57,625.7471313476562
3.0,643.92,626.1566162109375
3.0,646.44,626.4164428710938
3.0,651.39,626.7462158203125
3.0,650.64,627.146240234375
3.0,649.32,627.5383911132812
3.0,638.81,627.9287109375
3.0,640.87,628.149169921875
3.0,643.57,628.4179077148438
3.0,644.51,628.5479736328125
3.0,644.39,628.4052734375
3.0,645.39,628.3720703125
3.0,648.63,628.237548828125
3.0,651.87,627.9892578125
3.0,655.75,627.7371215820312
3.0,655.87,627.41455078125
3.0,654.04,627.1193237304688
3.0,655.33,626.6001586914062
3.0,657.78,626.3991088867188
