"Exchange.Date","Open","High","Low","Close","returns","logreturns"
37620,100,100,100,100,0,0
37623,100.9953621,100.9953621,100.9953621,100.9953621,0.995362099999994,0.00990440999684061
37624,101.6230834,101.6230834,101.6230834,101.6230834,0.627721300000005,0.00619611217260374
37627,101.6230834,101.6230834,101.6230834,101.6230834,0,0
37628,102.392342,102.392342,102.392342,102.392342,0.769258600000001,0.00754121649507233
37629,101.3597557,101.3597557,101.3597557,101.3597557,-1.03258630000001,-0.0101357988636241
37630,101.5898268,101.5898268,101.5898268,101.5898268,0.230071100000004,0.00226727442080232
37631,101.3520309,101.3520309,101.3520309,101.3520309,-0.237795899999995,-0.00234348903203241
37634,102.2026576,102.2026576,102.2026576,102.2026576,0.850626699999992,0.00835777016764805
37635,101.8636773,101.8636773,101.8636773,101.8636773,-0.338980299999989,-0.00332225902870853
37636,101.4389138,101.4389138,101.4389138,101.4389138,-0.424763500000012,-0.00417863949267794
37637,101.2324564,101.2324564,101.2324564,101.2324564,-0.206457399999991,-0.00203736197382653
37638,100.0037107,100.0037107,100.0037107,100.0037107,-1.2287457,-0.0122121285505452
37641,100.496787,100.496787,100.496787,100.496787,0.493076299999998,0.00491846453917688
37642,100.3874862,100.3874862,100.3874862,100.3874862,-0.1093008,-0.00108819679156369
37643,99.90844869,99.90844869,99.90844869,99.90844869,-0.479037509999998,-0.00478330649724334
37644,99.8930294,99.8930294,99.8930294,99.8930294,-0.015419289999997,-0.000154346105724734
37645,99.51468818,99.51468818,99.51468818,99.51468818,-0.37834122000001,-0.00379465427498982
37648,97.59286817,97.59286817,97.59286817,97.59286817,-1.92182000999999,-0.0195008344488317
37649,96.69990044,96.69990044,96.69990044,96.69990044,-0.892967730000009,-0.00919204583775723
37650,96.15215235,96.15215235,96.15215235,96.15215235,-0.547748089999999,-0.00568051576305617
37651,96.57189376,96.57189376,96.57189376,96.57189376,0.41974141,0.00435588689781419
37652,96.44248344,96.44248344,96.44248344,96.44248344,-0.129410319999991,-0.00134093989544759
37655,96.4788168,96.4788168,96.4788168,96.4788168,0.0363333600000004,0.000376665100063178
37656,94.68787757,94.68787757,94.68787757,94.68787757,-1.79093923000001,-0.0187374859883924
37657,95.15957812,95.15957812,95.15957812,95.15957812,0.471700550000008,0.00496926881587001
37658,94.81304979,94.81304979,94.81304979,94.81304979,-0.346528330000012,-0.00364819624964685
37659,94.54012769,94.54012769,94.54012769,94.54012769,-0.272922099999988,-0.00288267979050705
37662,93.9808945,93.9808945,93.9808945,93.9808945,-0.55923319,-0.00593286439748386
37663,93.76380814,93.76380814,93.76380814,93.76380814,-0.21708636000001,-0.00231257078037661
37664,93.5146926,93.5146926,93.5146926,93.5146926,-0.249115539999991,-0.00266037677516717
37665,93.54243439,93.54243439,93.54243439,93.54243439,0.0277417899999932,0.000296613025654757
37666,93.82644172,93.82644172,93.82644172,93.82644172,0.284007330000009,0.00303153387481636
37669,94.89584735,94.89584735,94.89584735,94.89584735,1.06940562999999,0.0113332355351234
37670,95.17967131,95.17967131,95.17967131,95.17967131,0.283823960000007,0.00298643584348213
37671,94.9067506,94.9067506,94.9067506,94.9067506,-0.272920710000008,-0.00287154542438639
37672,94.61429967,94.61429967,94.61429967,94.61429967,-0.292450930000001,-0.00308621297432854
37673,94.36245216,94.36245216,94.36245216,94.36245216,-0.25184750999999,-0.00266538245218406
37676,94.27827629,94.27827629,94.27827629,94.27827629,-0.0841758700000099,-0.000892446464542118
37677,93.11012095,93.11012095,93.11012095,93.11012095,-1.16815534,-0.0124679061192401
37678,93.38785634,93.38785634,93.38785634,93.38785634,0.277735390000004,0.00297843010795873
37679,92.89908105,92.89908105,92.89908105,92.89908105,-0.488775289999992,-0.00524756505702584
37680,94.05900999,94.05900999,94.05900999,94.05900999,1.15992894,0.0124085972068038
37683,93.61497427,93.61497427,93.61497427,93.61497427,-0.444035720000002,-0.0047319989535497
37684,92.62012545,92.62012545,92.62012545,92.62012545,-0.994848820000001,-0.0106838966941938
37685,92.44057484,92.44057484,92.44057484,92.44057484,-0.179550610000007,-0.00194045160380263
37686,91.71469035,91.71469035,91.71469035,91.71469035,-0.725884489999999,-0.00788343736616337
37687,90.9506683,90.9506683,90.9506683,90.9506683,-0.764022049999994,-0.00836531361026527
37690,89.9509825,89.9509825,89.9509825,89.9509825,-0.999685800000009,-0.0110523698587954
37691,89.03036768,89.03036768,89.03036768,89.03036768,-0.920614819999997,-0.0102873616508177
37692,88.53924193,88.53924193,88.53924193,88.53924193,-0.491125749999995,-0.00553165604651262
37693,89.23980631,89.23980631,89.23980631,89.23980631,0.700564380000003,0.00788133374829947
37694,90.85335116,90.85335116,90.85335116,90.85335116,1.61354485,0.0179194817755484
37697,90.88235761,90.88235761,90.88235761,90.88235761,0.0290064499999971,0.000319215749536639
37698,91.7473653,91.7473653,91.7473653,91.7473653,0.865007689999999,0.00947287379827433
37699,92.00344381,92.00344381,92.00344381,92.00344381,0.256078509999995,0.00278723861977426
37700,91.63909558,91.63909558,91.63909558,91.63909558,-0.36434822999999,-0.00396802080031211
37701,92.37400355,92.37400355,92.37400355,92.37400355,0.734907969999995,0.00798760393518094
37704,91.19031198,91.19031198,91.19031198,91.19031198,-1.18369156999999,-0.012896929052526
37705,90.94009229,90.94009229,90.94009229,90.94009229,-0.250219690000009,-0.00274769990688561
37706,90.95752088,90.95752088,90.95752088,90.95752088,0.0174285900000086,0.000191630772384599
37707,90.19126312,90.19126312,90.19126312,90.19126312,-0.766257760000002,-0.00846003283379648
37708,90.11562192,90.11562192,90.11562192,90.11562192,-0.0756412000000068,-0.00083902735517416
37711,88.90622001,88.90622001,88.90622001,88.90622001,-1.20940191,-0.0135114273856853
37712,88.58509132,88.58509132,88.58509132,88.58509132,-0.321128689999995,-0.00361853251285993
37713,89.60421514,89.60421514,89.60421514,89.60421514,1.01912381999999,0.0114387889213949
37714,89.53096379,89.53096379,89.53096379,89.53096379,-0.0732513499999925,-0.000817833264469492
37715,89.75063987,89.75063987,89.75063987,89.75063987,0.219676079999999,0.00245062723062972
37718,91.85117311,91.85117311,91.85117311,91.85117311,2.10053324,0.0231344267854441
37719,91.59292979,91.59292979,91.59292979,91.59292979,-0.258243320000005,-0.00281550059674451
37720,91.62816956,91.62816956,91.62816956,91.62816956,0.035239770000004,0.00038466934823056
37721,91.35597775,91.35597775,91.35597775,91.35597775,-0.27219181000001,-0.00297503379130504
37722,91.69134495,91.69134495,91.69134495,91.69134495,0.335367200000007,0.00366427184290963
37725,91.79447756,91.79447756,91.79447756,91.79447756,0.103132610000003,0.00112414811618677
37726,91.99300751,91.99300751,91.99300751,91.99300751,0.198529949999994,0.00216043031595436
37727,92.36832115,92.36832115,92.36832115,92.36832115,0.375313640000002,0.00407150633158793
37728,92.50024969,92.50024969,92.50024969,92.50024969,0.131928540000004,0.00142726870009824
37733,92.04234907,92.04234907,92.04234907,92.04234907,-0.457900620000004,-0.00496255675168555
37734,92.21181695,92.21181695,92.21181695,92.21181695,0.169467879999999,0.00183950172142389
