"Exchange.Date","Close","logreturns","forecast","mean_error"
37620,100,0,100,0
37623,100.9953621,0.00990440999684061,100.9953621,0
37624,101.6230834,0.00619611217260374,101.6230834,0
37627,101.6230834,0,101.6230834,0
37628,102.392342,0.00754121649507233,102.392342,0
37629,101.3597557,-0.0101357988636241,101.3597557,0
37630,101.5898268,0.00226727442080232,101.5898268,0
37631,101.3520309,-0.00234348903203241,101.3520309,0
37634,102.2026576,0.00835777016764805,102.2026576,0
37635,101.8636773,-0.00332225902870853,101.8636773,0
37636,101.4389138,-0.00417863949267794,101.4389138,0
37637,101.2324564,-0.00203736197382653,101.2324564,0
37638,100.0037107,-0.0122121285505452,100.0037107,0
37641,100.496787,0.00491846453917688,100.496787,0
37642,100.3874862,-0.00108819679156369,100.3874862,0
37643,99.90844869,-0.00478330649724334,99.90844869,0
37644,99.8930294,-0.000154346105724734,99.8930294,0
37645,99.51468818,-0.00379465427498982,99.51468818,0
37648,97.59286817,-0.0195008344488317,97.59286817,0
37649,96.69990044,-0.00919204583775723,96.69990044,0
37650,96.15215235,-0.00568051576305617,96.15215235,0
37651,96.57189376,0.00435588689781419,96.57189376,0
37652,96.44248344,-0.00134093989544759,96.44248344,0
37655,96.4788168,0.000376665100063178,96.4788168,0
37656,94.68787757,-0.0187374859883924,94.68787757,0
37657,95.15957812,0.00496926881587001,95.15957812,0
37658,94.81304979,-0.00364819624964685,94.81304979,0
37659,94.54012769,-0.00288267979050705,94.54012769,0
37662,93.9808945,-0.00593286439748386,93.9808945,0
37663,93.76380814,-0.00231257078037661,93.76380814,0
37664,93.5146926,-0.00266037677516717,93.5146926,0
37665,93.54243439,0.000296613025654757,93.54243439,0
37666,93.82644172,0.00303153387481636,93.82644172,0
37669,94.89584735,0.0113332355351234,94.89584735,0
37670,95.17967131,0.00298643584348213,95.17967131,0
37671,94.9067506,-0.00287154542438639,94.9067506,0
37672,94.61429967,-0.00308621297432854,94.61429967,0
37673,94.36245216,-0.00266538245218406,94.36245216,0
37676,94.27827629,-0.000892446464542118,94.27827629,0
37677,93.11012095,-0.0124679061192401,93.11012095,0
37678,93.38785634,0.00297843010795873,93.38785634,0
37679,92.89908105,-0.00524756505702584,92.89908105,0
37680,94.05900999,0.0124085972068038,94.05900999,0
37683,93.61497427,-0.0047319989535497,93.61497427,0
37684,92.62012545,-0.0106838966941938,92.62012545,0
37685,92.44057484,-0.00194045160380263,92.44057484,0
37686,91.71469035,-0.00788343736616337,91.71469035,0
37687,90.9506683,-0.00836531361026527,90.9506683,0
37690,89.9509825,-0.0110523698587954,89.9509825,0
37691,89.03036768,-0.0102873616508177,89.03036768,0
37692,88.53924193,-0.00553165604651262,88.53924193,0
37693,89.23980631,0.00788133374829947,89.23980631,0
37694,90.85335116,0.0179194817755484,90.85335116,0
37697,90.88235761,0.000319215749536639,90.88235761,0
37698,91.7473653,0.00947287379827433,91.7473653,0
37699,92.00344381,0.00278723861977426,92.00344381,0
37700,91.63909558,-0.00396802080031211,91.63909558,0
37701,92.37400355,0.00798760393518094,92.37400355,0
37704,91.19031198,-0.012896929052526,91.19031198,0
37705,90.94009229,-0.00274769990688561,90.94009229,0
37706,90.95752088,0.000191630772384599,90.95752088,0
37707,90.19126312,-0.00846003283379648,90.19126312,0
37708,90.11562192,-0.00083902735517416,90.11562192,0
37711,88.90622001,-0.0135114273856853,88.90622001,0
37712,88.58509132,-0.00361853251285993,88.58509132,0
37713,89.60421514,0.0114387889213949,89.60421514,0
37714,89.53096379,-0.000817833264469492,89.53096379,0
37715,89.75063987,0.00245062723062972,89.75063987,0
37718,91.85117311,0.0231344267854441,91.85117311,0
37719,91.59292979,-0.00281550059674451,91.59292979,0
37720,91.62816956,0.00038466934823056,91.62816956,0
37721,91.35597775,-0.00297503379130504,91.35597775,0
