"Exchange Date","Open","High","Low","Close"
37620,100,100,100,100
37623,100.9953621,100.9953621,100.9953621,100.9953621
37624,101.6230834,101.6230834,101.6230834,101.6230834
37627,101.6230834,101.6230834,101.6230834,101.6230834
37628,102.392342,102.392342,102.392342,102.392342
37629,101.3597557,101.3597557,101.3597557,101.3597557
37630,101.5898268,101.5898268,101.5898268,101.5898268
37631,101.3520309,101.3520309,101.3520309,101.3520309
37634,102.2026576,102.2026576,102.2026576,102.2026576
37635,101.8636773,101.8636773,101.8636773,101.8636773
37636,101.4389138,101.4389138,101.4389138,101.4389138
37637,101.2324564,101.2324564,101.2324564,101.2324564
37638,100.0037107,100.0037107,100.0037107,100.0037107
37641,100.496787,100.496787,100.496787,100.496787
37642,100.3874862,100.3874862,100.3874862,100.3874862
37643,99.90844869,99.90844869,99.90844869,99.90844869
37644,99.8930294,99.8930294,99.8930294,99.8930294
37645,99.51468818,99.51468818,99.51468818,99.51468818
37648,97.59286817,97.59286817,97.59286817,97.59286817
37649,96.69990044,96.69990044,96.69990044,96.69990044
37650,96.15215235,96.15215235,96.15215235,96.15215235
37651,96.57189376,96.57189376,96.57189376,96.57189376
37652,96.44248344,96.44248344,96.44248344,96.44248344
37655,96.4788168,96.4788168,96.4788168,96.4788168
37656,94.68787757,94.68787757,94.68787757,94.68787757
37657,95.15957812,95.15957812,95.15957812,95.15957812
37658,94.81304979,94.81304979,94.81304979,94.81304979
37659,94.54012769,94.54012769,94.54012769,94.54012769
37662,93.9808945,93.9808945,93.9808945,93.9808945
37663,93.76380814,93.76380814,93.76380814,93.76380814
37664,93.5146926,93.5146926,93.5146926,93.5146926
37665,93.54243439,93.54243439,93.54243439,93.54243439
37666,93.82644172,93.82644172,93.82644172,93.82644172
37669,94.89584735,94.89584735,94.89584735,94.89584735
37670,95.17967131,95.17967131,95.17967131,95.17967131
37671,94.9067506,94.9067506,94.9067506,94.9067506
37672,94.61429967,94.61429967,94.61429967,94.61429967
37673,94.36245216,94.36245216,94.36245216,94.36245216
37676,94.27827629,94.27827629,94.27827629,94.27827629
37677,93.11012095,93.11012095,93.11012095,93.11012095
37678,93.38785634,93.38785634,93.38785634,93.38785634
37679,92.89908105,92.89908105,92.89908105,92.89908105
